time	high_ci_0.05	low_ci_0.05	mean
1e-10	0.0	0.0	0.0
11.04	0.5566253663355499	-0.41869433185279126	0.06896551724137931
12.73	0.8205126335246807	-0.5446505645591635	0.13793103448275862
45.02	1.0341308189037768	-0.6203377154555008	0.20689655172413793
49.02	1.220853502130585	-0.6691293641995505	0.27586206896551724
49.37	1.3898129771229766	-0.7001578047091837	0.3448275862068966
52.34	1.5457266298597099	-0.7181404229631583	0.41379310344827586
54.07	1.6914132163926403	-0.7258959750133296	0.4827586206896552
54.78	1.8287173789966225	-0.7252691031345535	0.5517241379310345
60.05	1.9589239120400126	-0.7175446016951849	0.6206896551724138
60.67	2.0829690269685663	-0.7036586821409804	0.6896551724137931
60.89	2.3609316223931622	-0.8436902430828171	0.7586206896551724
61.31	2.611898549386683	-0.9567261355935797	0.8275862068965517
63.05	2.7145460184478756	-0.9214425701720134	0.8965517241379309
64.9	2.81395694968411	-0.8829224669254893	0.9655172413793104
66.53	3.0354774395655073	-0.9665119223241281	1.0344827586206897
67.3	3.1273535550910476	-0.9204570033669097	1.103448275862069
67.52	3.332050267663347	-0.9872226814564508	1.1724137931034484
68.21	3.4178051265393616	-0.9350465058497068	1.2413793103448276
68.42	3.501217335757349	-0.8805276805849347	1.3103448275862069
72.02	3.5823329827584134	-0.823712293103241	1.3793103448275863
72.13	3.661189896080414	-0.7646381719424833	1.4482758620689655
72.14	3.844534346998565	-0.810051588377875	1.5172413793103448
72.22	3.9187075077343287	-0.7462937146308798	1.5862068965517242
73.29	4.0924762318922125	-0.782131404306006	1.6551724137931034
73.71	4.162437176505336	-0.7141613144363709	1.7241379310344827
74.11	4.230407266374971	-0.6442003698232472	1.7931034482758619
75.5	4.394107837615054	-0.6699699065805701	1.8620689655172415
76.45	4.458276913966633	-0.5962079484493914	1.9310344827586208
76.99	4.615016638421083	-0.6150166384210835	1.9999999999999998
79.05	4.767106194606729	-0.629175160123971	2.0689655172413794
82.19	4.826160325052661	-0.5502982560871434	2.1379310344827585
82.79	4.972545585737576	-0.5587524822893004	2.206896551724138
84.4	5.199332044326659	-0.6476079063956235	2.2758620689655173
84.75	5.3072266316430365	-0.4796404247464855	2.413793103448276
87.1	5.441705895109597	-0.4761886537302871	2.4827586206896552
87.73	5.491748435739266	-0.38830015987719696	2.5517241379310343
88.14	5.540006382271734	-0.2986270719269069	2.6206896551724137
88.5	5.586441463643184	-0.20713111881559745	2.689655172413793
89.26	5.714285714285714	-0.19704433497536952	2.7586206896551726
90.27	5.839368742390694	-0.18419632859759097	2.8275862068965516
92.22	5.881627075377954	-0.08852362710209222	2.896551724137931
92.67	5.922003170073626	0.00903131268499318	2.9655172413793105
92.85	6.042233994576108	0.02673152266527136	3.0344827586206895
93.15	6.160018139406615	0.046878412317523044	3.103448275862069
93.68	6.3527118012943795	-0.007884215087482839	3.1724137931034484
94.17	6.464876482558204	0.01788213813145082	3.2413793103448274
95.57	6.4997860209337235	0.12090363423869048	3.310344827586207
95.79	6.608824315878574	0.1497963737765979	3.379310344827586
96.26	6.640758964732936	0.2557927594049951	3.4482758620689653
96.44	6.6707203494146246	0.36376240920606523	3.517241379310345
96.63	6.698634285503707	0.47377950759974136	3.5862068965517238
96.74	6.7244186193980715	0.5859262081881351	3.6551724137931036
97.61	6.747982118861638	0.7002937432073287	3.724137931034483
97.74	6.849673311820408	0.7365335847313164	3.7931034482758625
98.17	6.949446229752196	0.7746917012822868	3.8620689655172415
99.97	7.124277609978689	0.737791355538551	3.9310344827586206
100.75	7.21973096322526	0.78026903677474	3.9999999999999996
100.82	7.387422619329909	0.7505084151528488	4.068965517241379
102.04	7.478980287253827	0.7968817817116903	4.137931034482759
102.45	7.495973198546521	0.9178199049017541	4.206896551724138
105.22	7.5847991376840715	0.9669250002469628	4.275862068965517
106.48	7.598297482947464	1.0913576894663308	4.344827586206897
106.75	7.609315219749134	1.218270987147418	4.413793103448276
107.04	7.768882774415353	1.1966344669639573	4.482758620689655
108.6	7.851849108264873	1.251599167597197	4.551724137931035
108.64	7.933291512995947	1.3080877973488816	4.620689655172415
109.14	8.085455751648096	1.2938545931794907	4.689655172413794
109.46	8.091670901288133	1.4255704780222116	4.758620689655172
110.13	8.240494202106161	1.4146782116869407	4.827586206896552
110.9	8.315852933808527	1.4772505144673342	4.896551724137931
110.98	8.318167394516957	1.612867088241664	4.9655172413793105
111.68	8.462289705835428	1.6066758114059505	5.0344827586206895
113.92	8.533378361680633	1.6735181900435052	5.1034482758620685
114.23	8.603051299799045	1.7417762864078523	5.172413793103448
115.39	8.741343777011155	1.7414148436785004	5.241379310344827
116.15	8.738151774800947	1.8825378803714679	5.310344827586206
116.82	8.803575802361136	1.955044887294036	5.379310344827586
119.43	8.867577071739563	2.0289746523983694	5.448275862068966
119.82	9.000526015697279	2.033956742923411	5.517241379310345
120.49	9.061819858593623	2.110593934509826	5.586206896551724
120.93	9.12169696271117	2.188647864875038	5.655172413793103
121.51	9.1801461510917	2.2681297109772647	5.724137931034483
123.62	9.16595916623127	2.4202477303204546	5.793103448275862
125.09	9.292706472212837	2.4314314588216455	5.862068965517241
125.43	9.417104633094409	2.4449643324228316	5.931034482758621
125.92	9.607176283551293	2.392823716448707	6.0
126.3	9.726248510989278	2.4116825234934813	6.068965517241379
126.75	9.777255087145592	2.498606981819926	6.137931034482759
128.17	9.958508919144784	2.4552841843034936	6.206896551724138
128.96	10.007368840276971	2.544355297654064	6.275862068965518
131.02	10.05481189827837	2.634843274135423	6.344827586206897
