length	time	method
54	3.36	LEARNA_GC_04
73	19.04	LEARNA_GC_04
74	3.21	LEARNA_GC_04
79	3.42	LEARNA_GC_04
83	5.17	LEARNA_GC_04
87	4.31	LEARNA_GC_04
89	14.84	LEARNA_GC_04
102	20.98	LEARNA_GC_04
117	256.09	LEARNA_GC_04
118	4.25	LEARNA_GC_04
119	5500.0	LEARNA_GC_04
129	5500.0	LEARNA_GC_04
140	25.99	LEARNA_GC_04
148	25.07	LEARNA_GC_04
151	43.93	LEARNA_GC_04
154	41.7	LEARNA_GC_04
161	307.1	LEARNA_GC_04
185	25.33	LEARNA_GC_04
193	55.16	LEARNA_GC_04
210	48.89	LEARNA_GC_04
215	44.13	LEARNA_GC_04
301	115.41	LEARNA_GC_04
340	123.48	LEARNA_GC_04
344	5500.0	LEARNA_GC_04
348	231.24	LEARNA_GC_04
357	5500.0	LEARNA_GC_04
360	5500.0	LEARNA_GC_04
382	5500.0	LEARNA_GC_04
451	5500.0	LEARNA_GC_04
