time	solved
1e-10	0.0
3.21	3.4482758620689653
3.36	6.896551724137931
3.42	10.344827586206897
4.25	13.793103448275861
4.31	17.24137931034483
5.17	20.689655172413794
14.84	24.137931034482758
19.04	27.586206896551722
20.98	31.03448275862069
25.07	34.48275862068966
25.33	37.93103448275862
25.99	41.37931034482759
41.7	44.827586206896555
43.93	48.275862068965516
44.13	51.724137931034484
48.89	55.172413793103445
55.16	58.620689655172406
115.41	62.06896551724138
123.48	65.51724137931035
231.24	68.96551724137932
256.09	72.41379310344827
307.1	75.86206896551724
600.0	75.86206896551724
