length	time	method
54	3.41	LEARNA_GC_06
73	14.5	LEARNA_GC_06
74	3.1	LEARNA_GC_06
79	3.19	LEARNA_GC_06
83	13.02	LEARNA_GC_06
87	3.16	LEARNA_GC_06
89	14.44	LEARNA_GC_06
102	22.58	LEARNA_GC_06
117	37.03	LEARNA_GC_06
118	3.78	LEARNA_GC_06
119	5500.0	LEARNA_GC_06
129	5500.0	LEARNA_GC_06
140	32.39	LEARNA_GC_06
148	31.36	LEARNA_GC_06
151	93.77	LEARNA_GC_06
154	35.1	LEARNA_GC_06
161	70.38	LEARNA_GC_06
185	30.66	LEARNA_GC_06
193	32.74	LEARNA_GC_06
210	90.96	LEARNA_GC_06
215	47.47	LEARNA_GC_06
301	152.65	LEARNA_GC_06
340	239.08	LEARNA_GC_06
344	5500.0	LEARNA_GC_06
348	5500.0	LEARNA_GC_06
357	5500.0	LEARNA_GC_06
360	5500.0	LEARNA_GC_06
382	5500.0	LEARNA_GC_06
451	5500.0	LEARNA_GC_06
