time	solved
1e-10	0.0
3.1	3.4482758620689653
3.16	6.896551724137931
3.19	10.344827586206897
3.41	13.793103448275861
3.78	17.24137931034483
13.02	20.689655172413794
14.44	24.137931034482758
14.5	27.586206896551722
22.58	31.03448275862069
30.66	34.48275862068966
31.36	37.93103448275862
32.39	41.37931034482759
32.74	44.827586206896555
35.1	48.275862068965516
37.03	51.724137931034484
47.47	55.172413793103445
70.38	58.620689655172406
90.96	62.06896551724138
93.77	65.51724137931035
152.65	68.96551724137932
239.08	72.41379310344827
600.0	72.41379310344827
