time	solved
1e-10	0.0
2.75	3.4482758620689653
2.86	6.896551724137931
2.88	10.344827586206897
2.92	13.793103448275861
2.95	17.24137931034483
2.97	20.689655172413794
3.16	24.137931034482758
3.36	27.586206896551722
3.44	34.48275862068966
3.74	37.93103448275862
3.8	41.37931034482759
3.99	44.827586206896555
4.23	48.275862068965516
4.34	51.724137931034484
5.42	55.172413793103445
7.58	58.620689655172406
7.59	62.06896551724138
9.15	65.51724137931035
9.47	68.96551724137932
22.27	72.41379310344827
227.15	75.86206896551724
267.87	79.3103448275862
350.86	82.75862068965517
600.0	82.75862068965517
