length	time	method
54	2.75	Meta-LEARNA
73	3.8	Meta-LEARNA
74	2.86	Meta-LEARNA
79	2.95	Meta-LEARNA
83	2.92	Meta-LEARNA
87	3.74	Meta-LEARNA
89	2.97	Meta-LEARNA
102	2.88	Meta-LEARNA
117	267.87	Meta-LEARNA
118	3.36	Meta-LEARNA
119	5500.0	Meta-LEARNA
129	5500.0	Meta-LEARNA
140	3.44	Meta-LEARNA
148	3.16	Meta-LEARNA
151	7.59	Meta-LEARNA
154	5.42	Meta-LEARNA
161	227.15	Meta-LEARNA
185	4.34	Meta-LEARNA
193	3.99	Meta-LEARNA
210	3.44	Meta-LEARNA
215	4.23	Meta-LEARNA
301	22.27	Meta-LEARNA
340	9.47	Meta-LEARNA
344	350.86	Meta-LEARNA
348	7.58	Meta-LEARNA
357	5500.0	Meta-LEARNA
360	9.15	Meta-LEARNA
382	5500.0	Meta-LEARNA
451	5500.0	Meta-LEARNA
