length	time	method
54	0.25	antarna
73	1.12	antarna
74	0.39	antarna
79	0.42	antarna
83	0.96	antarna
87	0.33	antarna
89	2.15	antarna
102	6.63	antarna
117	30.73	antarna
118	1.59	antarna
119	5500.0	antarna
129	5500.0	antarna
140	366.01	antarna
148	13.28	antarna
151	5500.0	antarna
154	16.12	antarna
161	5500.0	antarna
185	9.0	antarna
193	42.54	antarna
210	5500.0	antarna
215	77.54	antarna
301	56.52	antarna
340	5500.0	antarna
344	5500.0	antarna
348	5500.0	antarna
357	5500.0	antarna
360	5500.0	antarna
382	5500.0	antarna
451	5500.0	antarna
