length	time	method
54	0.18	antarna
73	0.71	antarna
74	0.18	antarna
79	0.21	antarna
83	0.22	antarna
87	0.27	antarna
89	0.92	antarna
102	1.88	antarna
117	10.15	antarna
118	0.21	antarna
119	5500.0	antarna
129	5500.0	antarna
140	4.48	antarna
148	4.66	antarna
151	5500.0	antarna
154	4.76	antarna
161	5500.0	antarna
185	3.61	antarna
193	5.29	antarna
210	28.04	antarna
215	10.9	antarna
301	11.21	antarna
340	113.45	antarna
344	5500.0	antarna
348	5500.0	antarna
357	5500.0	antarna
360	5500.0	antarna
382	5500.0	antarna
451	5500.0	antarna
