length	time	method
54	0.57	antarna
73	12.41	antarna
74	0.77	antarna
79	0.53	antarna
83	3.22	antarna
87	0.78	antarna
89	14.49	antarna
102	5.0	antarna
117	5500.0	antarna
118	2.39	antarna
119	5500.0	antarna
129	5500.0	antarna
140	5500.0	antarna
148	83.07	antarna
151	5500.0	antarna
154	5500.0	antarna
161	5500.0	antarna
185	19.51	antarna
193	263.8	antarna
210	5500.0	antarna
215	291.69	antarna
301	5500.0	antarna
340	5500.0	antarna
344	5500.0	antarna
348	5500.0	antarna
357	5500.0	antarna
360	5500.0	antarna
382	5500.0	antarna
451	5500.0	antarna
