length	time	method
54	10.38	LEARNA_GC_08
73	27.2	LEARNA_GC_08
74	6.39	LEARNA_GC_08
79	3.93	LEARNA_GC_08
83	23.63	LEARNA_GC_08
87	7.45	LEARNA_GC_08
89	26.7	LEARNA_GC_08
102	5500.0	LEARNA_GC_08
117	43.76	LEARNA_GC_08
118	5.38	LEARNA_GC_08
119	5500.0	LEARNA_GC_08
129	5500.0	LEARNA_GC_08
140	57.13	LEARNA_GC_08
148	58.71	LEARNA_GC_08
151	5500.0	LEARNA_GC_08
154	52.39	LEARNA_GC_08
161	5500.0	LEARNA_GC_08
185	55.93	LEARNA_GC_08
193	94.2	LEARNA_GC_08
210	5500.0	LEARNA_GC_08
215	201.74	LEARNA_GC_08
301	150.92	LEARNA_GC_08
340	5500.0	LEARNA_GC_08
344	5500.0	LEARNA_GC_08
348	5500.0	LEARNA_GC_08
357	5500.0	LEARNA_GC_08
360	5500.0	LEARNA_GC_08
382	5500.0	LEARNA_GC_08
451	5500.0	LEARNA_GC_08
