time	high_ci_0.05	low_ci_0.05	mean
1e-10	0.0	0.0	0.0
3.93	0.5566253663355499	-0.41869433185279126	0.06896551724137931
4.35	0.8205126335246807	-0.5446505645591635	0.13793103448275862
4.39	1.0341308189037768	-0.6203377154555008	0.20689655172413793
5.38	1.220853502130585	-0.6691293641995505	0.27586206896551724
6.11	1.3898129771229766	-0.7001578047091837	0.3448275862068966
6.13	1.54572662985971	-0.7181404229631584	0.41379310344827586
6.24	1.6914132163926403	-0.7258959750133296	0.4827586206896552
6.39	1.8287173789966225	-0.7252691031345537	0.5517241379310345
6.6	1.9589239120400126	-0.7175446016951849	0.6206896551724138
6.66	2.0829690269685663	-0.7036586821409804	0.6896551724137931
6.76	2.201558474470622	-0.6843170951602771	0.7586206896551724
7.13	2.315238312368621	-0.6600658985755173	0.8275862068965517
7.25	2.4244396472188003	-0.6313361989429384	0.8965517241379309
7.41	2.5295081641761126	-0.5984736814174919	0.9655172413793104
7.45	2.630724309952675	-0.5617587927112956	1.0344827586206897
7.55	2.728317487928142	-0.521420936204004	1.103448275862069
7.77	2.963513198295354	-0.6186856120884572	1.1724137931034484
7.8	3.1389863244601557	-0.5182966692877422	1.3103448275862069
8.17	3.2224913235339616	-0.46387063387878885	1.3793103448275863
8.44	3.303268018104702	-0.4067162939667715	1.4482758620689655
8.47	3.381368268810296	-0.3468855101896063	1.5172413793103448
8.56	3.582344787128553	-0.40993099402510425	1.5862068965517242
8.77	3.6549540029738354	-0.34460917538762925	1.6551724137931034
9.48	3.725132611979301	-0.27685674991033504	1.7241379310344827
9.54	3.792885037456594	-0.20667814090487052	1.7931034482758619
9.67	3.8582068560940694	-0.134068925059587	1.8620689655172415
9.93	4.039500941776621	-0.17743197625937862	1.9310344827586208
10.38	4.100394640919	-0.10039464091899969	1.9999999999999998
10.63	4.158936299073539	-0.021005264590780698	2.0689655172413794
10.71	4.4368988944981345	-0.16103682553261758	2.1379310344827585
10.72	4.595932148370864	-0.18213904492258895	2.206896551724138
10.75	4.749729956549698	-0.19800581861866362	2.2758620689655173
10.9	4.898814068338074	-0.2091588959242797	2.344827586206897
10.94	4.9496625963022165	-0.12207638940566526	2.413793103448276
11.97	5.093131290540249	-0.1276140491609401	2.4827586206896552
12.19	5.140627259797224	-0.037178983935155355	2.5517241379310343
12.29	5.278963066646708	-0.03758375630188016	2.6206896551724137
12.35	5.323165794014514	0.056144550813072285	2.689655172413793
12.57	5.456761367020523	0.06048001228982196	2.7586206896551726
12.77	5.587086418553875	0.06808599523922793	2.8275862068965516
13.06	5.62687812030562	0.16622532797024248	2.896551724137931
13.49	5.753015635624652	0.17801884713396882	2.9655172413793105
13.99	5.789582552533903	0.27938296470747526	3.0344827586206895
14.0	5.823980546105237	0.3829160056189013	3.103448275862069
14.19	5.856125807266253	0.4887017789406432	3.1724137931034484
14.42	6.063484844808375	0.41927377588127956	3.2413793103448274
14.84	6.179353650947987	0.441336004224426	3.310344827586207
15.29	6.374935132120349	0.3836855575348232	3.379310344827586
15.92	6.484933006388658	0.41161871774927283	3.4482758620689653
16.91	6.512866166603108	0.5216165920175819	3.517241379310345
16.99	6.619665875535103	0.5527479175683444	3.5862068965517238
18.36	6.644309646557255	0.6660351810289529	3.6551724137931036
18.65	6.666637344446912	0.7816385176220538	3.724137931034483
18.94	6.849673311820408	0.7365335847313164	3.7931034482758625
18.95	6.869820201472661	0.8543177295618231	3.8620689655172415
19.03	6.887520411452937	0.9745485540643035	3.9310344827586206
19.88	6.985075351240024	1.0149246487599766	3.9999999999999996
20.01	6.999068444918829	1.1388625895639302	4.068965517241379
20.37	7.010321130465664	1.265540938499852	4.137931034482759
20.54	7.1036828429535275	1.3101102604947472	4.206896551724138
21.28	7.195178796064837	1.3565453418661961	4.275862068965517
21.71	7.284851884015128	1.4048032883986652	4.344827586206897
22.28	7.289560496418999	1.5380257104775519	4.413793103448276
22.39	7.4588783186193535	1.5066389227599575	4.482758620689655
22.46	7.461048878863724	1.6423993969983446	4.551724137931035
22.55	7.4599405814757755	1.7814387288690516	4.620689655172415
22.62	7.455304206427233	1.924006138400355	4.689655172413794
22.8	7.614213916006099	2.0409584977870043	4.827586206896552
23.36	7.6910058332379965	2.1020976150378647	4.896551724137931
23.57	7.851392811010208	2.079641671748412	4.9655172413793105
23.63	8.007339166426524	2.0616263508148553	5.0344827586206895
24.09	7.996043006089301	2.2108535456348375	5.1034482758620685
24.3	8.06584732129821	2.278980264908687	5.172413793103448
24.92	8.216683521288966	2.2660750994006893	5.241379310344827
25.23	8.363737382721524	2.2569522724508895	5.310344827586206
25.25	8.428726608973825	2.3298940806813473	5.379310344827586
25.34	8.64759268593685	2.2489590382010807	5.448275862068966
25.68	8.632785872087073	2.4016968865336166	5.517241379310345
26.69	8.770317755899963	2.402096037203486	5.586206896551724
26.7	8.829360333711724	2.4809844938744803	5.655172413793103
27.0	8.886837619561483	2.561438242507483	5.724137931034483
27.08	8.864720643964512	2.721486252587212	5.793103448275862
27.2	8.918638829061788	2.805499101972695	5.862068965517241
27.22	9.049692963811708	2.812376001705534	5.931034482758621
27.35	9.100710341252457	2.899289658747543	6.0
27.45	9.227826510715547	2.9101045237672123	6.068965517241379
27.48	9.275981932735563	2.999880136229953	6.137931034482759
27.68	9.39937965438811	3.0144134490601675	6.206896551724138
27.76	9.444693997256236	3.1070301406747998	6.275862068965518
27.83	9.488286922865777	3.2013682495480174	6.344827586206897
27.95	9.607036230668346	3.220549976228207	6.413793103448276
28.15	9.647759291469757	3.317757949909554	6.482758620689655
