length	time	method
54	0.39	antarna
73	2.49	antarna
74	1.4	antarna
79	0.59	antarna
83	3.06	antarna
87	0.53	antarna
89	21.66	antarna
102	5500.0	antarna
117	5500.0	antarna
118	2.67	antarna
119	5500.0	antarna
129	5500.0	antarna
140	5500.0	antarna
148	5500.0	antarna
151	5500.0	antarna
154	5500.0	antarna
161	5500.0	antarna
185	20.41	antarna
193	5500.0	antarna
210	5500.0	antarna
215	5500.0	antarna
301	5500.0	antarna
340	5500.0	antarna
344	5500.0	antarna
348	5500.0	antarna
357	5500.0	antarna
360	5500.0	antarna
382	5500.0	antarna
451	5500.0	antarna
