time	solved
1e-10	0.0
2.47	3.4482758620689653
2.6	6.896551724137931
2.7	10.344827586206897
2.79	13.793103448275861
2.93	17.24137931034483
2.98	20.689655172413794
3.14	24.137931034482758
3.28	27.586206896551722
3.29	31.03448275862069
3.34	34.48275862068966
3.4	37.93103448275862
3.55	41.37931034482759
4.22	44.827586206896555
4.33	48.275862068965516
4.99	51.724137931034484
5.16	55.172413793103445
6.46	58.620689655172406
7.46	62.06896551724138
13.4	65.51724137931035
22.19	68.96551724137932
53.04	72.41379310344827
65.59	75.86206896551724
192.1	79.3103448275862
275.87	82.75862068965517
600.0	82.75862068965517
