id	runs
1	11
2	44
3	6
4	50
5	50
6	50
7	48
8	50
9	50
12	50
13	50
14	50
15	50
17	33
18	4
19	50
21	50
22	50
24	50
25	50
26	50
27	3
28	50
29	50
