time	solved
1e-10	0.0
2.73	3.4482758620689653
2.75	6.896551724137931
2.78	10.344827586206897
2.83	13.793103448275861
2.84	17.24137931034483
2.87	20.689655172413794
2.91	24.137931034482758
2.92	27.586206896551722
2.94	34.48275862068966
3.04	37.93103448275862
3.09	41.37931034482759
3.33	44.827586206896555
3.36	48.275862068965516
3.38	51.724137931034484
3.95	55.172413793103445
3.98	58.620689655172406
4.06	62.06896551724138
5.63	65.51724137931035
12.02	68.96551724137932
12.36	72.41379310344827
21.01	75.86206896551724
29.76	79.3103448275862
600.0	79.3103448275862
