length	time	method
54	3.16	LEARNA_GC_05
73	17.65	LEARNA_GC_05
74	3.36	LEARNA_GC_05
79	3.22	LEARNA_GC_05
83	4.11	LEARNA_GC_05
87	3.09	LEARNA_GC_05
89	14.54	LEARNA_GC_05
102	18.75	LEARNA_GC_05
117	66.66	LEARNA_GC_05
118	3.2	LEARNA_GC_05
119	5500.0	LEARNA_GC_05
129	5500.0	LEARNA_GC_05
140	28.49	LEARNA_GC_05
148	24.29	LEARNA_GC_05
151	100.61	LEARNA_GC_05
154	32.42	LEARNA_GC_05
161	138.46	LEARNA_GC_05
185	22.4	LEARNA_GC_05
193	50.26	LEARNA_GC_05
210	43.07	LEARNA_GC_05
215	62.51	LEARNA_GC_05
301	191.43	LEARNA_GC_05
340	116.68	LEARNA_GC_05
344	501.62	LEARNA_GC_05
348	171.35	LEARNA_GC_05
357	5500.0	LEARNA_GC_05
360	5500.0	LEARNA_GC_05
382	5500.0	LEARNA_GC_05
451	5500.0	LEARNA_GC_05
