time	solved
1e-10	0.0
3.09	3.4482758620689653
3.16	6.896551724137931
3.2	10.344827586206897
3.22	13.793103448275861
3.36	17.24137931034483
4.11	20.689655172413794
14.54	24.137931034482758
17.65	27.586206896551722
18.75	31.03448275862069
22.4	34.48275862068966
24.29	37.93103448275862
28.49	41.37931034482759
32.42	44.827586206896555
43.07	48.275862068965516
50.26	51.724137931034484
62.51	55.172413793103445
66.66	58.620689655172406
100.61	62.06896551724138
116.68	65.51724137931035
138.46	68.96551724137932
171.35	72.41379310344827
191.43	75.86206896551724
501.62	79.3103448275862
600.0	79.3103448275862
