time	solved
1e-10	0.0
0.13	3.4482758620689653
0.2	6.896551724137931
0.21	10.344827586206897
0.23	13.793103448275861
0.34	17.24137931034483
0.4	20.689655172413794
0.5	24.137931034482758
0.63	27.586206896551722
0.93	31.03448275862069
2.8	34.48275862068966
2.88	37.93103448275862
3.19	41.37931034482759
3.34	44.827586206896555
4.78	48.275862068965516
7.63	51.724137931034484
8.26	55.172413793103445
12.88	58.620689655172406
22.71	62.06896551724138
106.04	65.51724137931035
138.22	68.96551724137932
522.65	72.41379310344827
600.0	72.41379310344827
