length	time	method
54	0.15	antarna
73	1.23	antarna
74	0.34	antarna
79	0.31	antarna
83	0.86	antarna
87	0.37	antarna
89	2.49	antarna
102	8.03	antarna
117	58.84	antarna
118	1.2	antarna
119	5500.0	antarna
129	5500.0	antarna
140	122.88	antarna
148	12.51	antarna
151	5500.0	antarna
154	11.4	antarna
161	5500.0	antarna
185	11.39	antarna
193	24.99	antarna
210	5500.0	antarna
215	55.29	antarna
301	43.95	antarna
340	5500.0	antarna
344	5500.0	antarna
348	5500.0	antarna
357	5500.0	antarna
360	5500.0	antarna
382	5500.0	antarna
451	5500.0	antarna
