length	time	method
54	0.15	antarna
73	0.62	antarna
74	0.17	antarna
79	0.17	antarna
83	0.38	antarna
87	0.22	antarna
89	1.03	antarna
102	0.98	antarna
117	10.58	antarna
118	0.33	antarna
119	5500.0	antarna
129	5500.0	antarna
140	3.35	antarna
148	1.8	antarna
151	92.61	antarna
154	3.31	antarna
161	120.33	antarna
185	3.72	antarna
193	5.24	antarna
210	15.91	antarna
215	10.76	antarna
301	16.72	antarna
340	46.45	antarna
344	5500.0	antarna
348	5500.0	antarna
357	5500.0	antarna
360	5500.0	antarna
382	5500.0	antarna
451	5500.0	antarna
