length	time	method
54	7.3	LEARNA_GC_07
73	14.02	LEARNA_GC_07
74	8.32	LEARNA_GC_07
79	4.09	LEARNA_GC_07
83	7.16	LEARNA_GC_07
87	6.87	LEARNA_GC_07
89	26.67	LEARNA_GC_07
102	52.15	LEARNA_GC_07
117	33.91	LEARNA_GC_07
118	5.55	LEARNA_GC_07
119	5500.0	LEARNA_GC_07
129	5500.0	LEARNA_GC_07
140	34.66	LEARNA_GC_07
148	34.79	LEARNA_GC_07
151	5500.0	LEARNA_GC_07
154	28.74	LEARNA_GC_07
161	124.8	LEARNA_GC_07
185	41.51	LEARNA_GC_07
193	72.32	LEARNA_GC_07
210	115.55	LEARNA_GC_07
215	50.07	LEARNA_GC_07
301	156.13	LEARNA_GC_07
340	5500.0	LEARNA_GC_07
344	5500.0	LEARNA_GC_07
348	5500.0	LEARNA_GC_07
357	5500.0	LEARNA_GC_07
360	5500.0	LEARNA_GC_07
382	5500.0	LEARNA_GC_07
451	5500.0	LEARNA_GC_07
