time	solved
1e-10	0.0
4.09	3.4482758620689653
5.55	6.896551724137931
6.87	10.344827586206897
7.16	13.793103448275861
7.3	17.24137931034483
8.32	20.689655172413794
14.02	24.137931034482758
26.67	27.586206896551722
28.74	31.03448275862069
33.91	34.48275862068966
34.66	37.93103448275862
34.79	41.37931034482759
41.51	44.827586206896555
50.07	48.275862068965516
52.15	51.724137931034484
72.32	55.172413793103445
115.55	58.620689655172406
124.8	62.06896551724138
156.13	65.51724137931035
600.0	65.51724137931035
