time	solved
1e-10	0.0
0.11	3.4482758620689653
0.12	10.344827586206897
0.13	17.24137931034483
0.14	20.689655172413794
0.15	24.137931034482758
0.18	27.586206896551722
0.2	31.03448275862069
0.27	34.48275862068966
0.29	37.93103448275862
0.31	41.37931034482759
0.67	44.827586206896555
0.75	48.275862068965516
1.06	51.724137931034484
1.64	55.172413793103445
3.73	58.620689655172406
3.91	62.06896551724138
6.22	65.51724137931035
20.89	68.96551724137932
23.58	72.41379310344827
66.34	75.86206896551724
600.0	75.86206896551724
