time	high_ci_0.05	low_ci_0.05	mean
1e-10	0.0	0.0	0.0
0.11	1.0341308189037768	-0.6203377154555008	0.20689655172413793
0.12	2.5058273744796256	-0.9885859951692808	0.7586206896551724
0.13	4.128723072143782	-0.5425161755920587	1.7931034482758619
0.14	5.134325373691444	-0.306739166794892	2.413793103448276
0.15	6.5327893149318665	0.2258313747233061	3.379310344827586
0.16	7.41501570642107	0.44705325909617205	3.9310344827586206
0.17	8.532366596271277	1.5365989209701023	5.0344827586206895
0.18	9.64136047028464	2.6345015986808775	6.137931034482759
0.19	10.67436906509451	2.980803348698594	6.827586206896552
0.2	11.442080709461134	3.3165399801940385	7.379310344827586
0.21	12.067205818656813	3.7948631468604264	7.93103448275862
0.22	12.513460722681097	4.038263415249937	8.275862068965518
0.23	12.985232794746146	4.256146515598683	8.620689655172415
0.24	13.10889881615878	4.270411528668807	8.689655172413794
0.25	13.649802040540576	4.419163476700804	9.03448275862069
0.26	14.00645693896708	4.890094785170854	9.448275862068966
0.27	14.169870665794331	5.002543127309115	9.586206896551722
0.28	14.328929554897258	5.119346307171707	9.724137931034482
0.29	14.483693331363117	5.240444599671363	9.862068965517242
0.3	14.52827002730301	5.471729972696986	10.0
0.31	14.780510503776714	5.495351565188803	10.137931034482758
0.32	14.719599011073415	5.694194092374862	10.206896551724137
0.33	15.19430360722499	5.9091446686370785	10.551724137931034
0.34	15.360776636109028	6.156464743201315	10.758620689655173
0.35	15.791799297075656	6.415097254648481	11.10344827586207
0.36	15.79956038724294	6.683198233446714	11.241379310344826
0.37	16.03987396954918	6.85667775458875	11.448275862068966
0.38	16.01108357509379	7.023399183526902	11.517241379310345
0.39	16.45716044269366	7.404908522823579	11.931034482758621
0.4	16.527734105645735	7.472265894354265	12.0
0.41	16.679086768035862	7.734706335412412	12.206896551724137
0.42	16.745338412695077	7.806385725235958	12.275862068965518
0.43	17.053658978835806	8.049789297026262	12.551724137931036
0.44	17.114531850955856	8.126847459388973	12.620689655172415
0.45	17.119867419885146	8.25944292494244	12.689655172413794
0.46	17.39799546984954	8.257176943943566	12.827586206896552
0.47	17.401249302892673	8.667716214348706	13.034482758620689
0.48	17.721701281143673	8.76105733954598	13.241379310344827
0.49	17.66152368019184	8.959165974980573	13.310344827586206
0.5	17.709805118391312	9.04881557126386	13.379310344827585
0.51	17.756861006043327	9.139690718094604	13.448275862068964
0.52	17.94739328291467	9.362951544671533	13.655172413793103
0.53	17.98970406912104	9.458571792947929	13.724137931034482
0.54	18.22325535188019	9.638813613637051	13.93103448275862
0.55	18.389821798431544	9.886040270533972	14.137931034482756
0.56	18.365885895409935	10.047907208038339	14.206896551724139
0.57	18.396940889011535	10.430645317885014	14.413793103448274
0.59	18.484747982579293	10.48076925880002	14.482758620689657
0.6	18.510427704997916	10.59302057086415	14.551724137931032
0.61	18.534388978530288	10.706990331814541	14.620689655172415
0.62	18.783837045371676	10.871335368421425	14.827586206896552
0.63	19.02189287583213	11.047072641409251	15.03448275862069
0.64	19.218444534080216	10.98845201764392	15.10344827586207
0.66	19.293891756325497	11.050935829881402	15.17241379310345
0.67	19.441232570095888	11.179457085076528	15.310344827586208
0.68	19.69959586411654	11.196955860021395	15.448275862068966
0.69	19.95019400795076	11.222219785152689	15.58620689655172
0.71	20.2587775996169	11.327429296934826	15.793103448275863
0.72	20.376921866951562	11.347216064082916	15.86206896551724
0.73	20.622583912016175	11.65327815694934	16.137931034482758
0.75	20.8462713319185	11.70545280601253	16.275862068965516
0.76	21.011728823479025	11.815857383417523	16.413793103448278
0.77	20.959287610969984	12.006229630409328	16.482758620689655
0.78	21.0645745857513	12.176804724593532	16.620689655172416
0.79	21.060309953264795	12.319000391562792	16.689655172413794
0.8	21.109799542260806	12.407441837049541	16.758620689655174
0.81	21.517512036434862	12.55145348080652	17.03448275862069
0.82	21.713526966105032	12.631300620101868	17.17241379310345
0.83	21.851458000587787	12.769231654584623	17.310344827586206
0.84	21.83791467940286	12.920706010252312	17.379310344827587
0.86	21.98566718735683	13.32467764022938	17.655172413793103
0.88	22.11097604642294	13.751092919094301	17.93103448275862
0.94	22.31083741027767	13.68916258972233	18.0
0.96	22.30682760426319	13.969034464702327	18.137931034482758
0.97	22.352942206218433	14.198781931712597	18.275862068965516
1.01	22.571031662234905	14.256554544661645	18.413793103448274
1.04	22.706591351768672	14.258925889610637	18.48275862068966
1.05	22.839985653757704	14.263462622104365	18.551724137931032
