time	solved
1e-10	0.0
0.11	3.4482758620689653
0.12	13.793103448275861
0.13	17.24137931034483
0.14	20.689655172413794
0.15	24.137931034482758
0.17	27.586206896551722
0.18	31.03448275862069
0.23	34.48275862068966
0.27	37.93103448275862
0.3	41.37931034482759
0.37	44.827586206896555
0.38	48.275862068965516
0.45	51.724137931034484
1.05	55.172413793103445
4.95	58.620689655172406
5.17	62.06896551724138
8.76	65.51724137931035
13.84	68.96551724137932
111.24	72.41379310344827
117.16	75.86206896551724
600.0	75.86206896551724
