length	time	method
54	0.17	antarna
73	1.15	antarna
74	0.5	antarna
79	0.32	antarna
83	0.87	antarna
87	0.42	antarna
89	2.77	antarna
102	5.96	antarna
117	20.48	antarna
118	1.25	antarna
119	5500.0	antarna
129	5500.0	antarna
140	142.03	antarna
148	19.27	antarna
151	5500.0	antarna
154	13.82	antarna
161	5500.0	antarna
185	10.76	antarna
193	37.75	antarna
210	5500.0	antarna
215	73.08	antarna
301	44.07	antarna
340	5500.0	antarna
344	5500.0	antarna
348	5500.0	antarna
357	5500.0	antarna
360	5500.0	antarna
382	5500.0	antarna
451	5500.0	antarna
