length	time	method
54	2.77	Meta-LEARNA-Adapt
73	3.57	Meta-LEARNA-Adapt
74	2.88	Meta-LEARNA-Adapt
79	2.91	Meta-LEARNA-Adapt
83	2.65	Meta-LEARNA-Adapt
87	2.96	Meta-LEARNA-Adapt
89	2.85	Meta-LEARNA-Adapt
102	2.87	Meta-LEARNA-Adapt
117	5.19	Meta-LEARNA-Adapt
118	3.12	Meta-LEARNA-Adapt
119	5500.0	Meta-LEARNA-Adapt
129	5500.0	Meta-LEARNA-Adapt
140	2.82	Meta-LEARNA-Adapt
148	3.25	Meta-LEARNA-Adapt
151	3.9	Meta-LEARNA-Adapt
154	3.86	Meta-LEARNA-Adapt
161	24.07	Meta-LEARNA-Adapt
185	4.03	Meta-LEARNA-Adapt
193	4.0	Meta-LEARNA-Adapt
210	2.74	Meta-LEARNA-Adapt
215	2.84	Meta-LEARNA-Adapt
301	16.5	Meta-LEARNA-Adapt
340	3.3	Meta-LEARNA-Adapt
344	270.96	Meta-LEARNA-Adapt
348	5.06	Meta-LEARNA-Adapt
357	5500.0	Meta-LEARNA-Adapt
360	5500.0	Meta-LEARNA-Adapt
382	5500.0	Meta-LEARNA-Adapt
451	5500.0	Meta-LEARNA-Adapt
