length	time	method
54	2.82	Meta-LEARNA
73	3.46	Meta-LEARNA
74	2.72	Meta-LEARNA
79	2.95	Meta-LEARNA
83	2.97	Meta-LEARNA
87	3.06	Meta-LEARNA
89	2.77	Meta-LEARNA
102	2.71	Meta-LEARNA
117	32.69	Meta-LEARNA
118	3.57	Meta-LEARNA
119	5500.0	Meta-LEARNA
129	5500.0	Meta-LEARNA
140	3.02	Meta-LEARNA
148	3.28	Meta-LEARNA
151	3.36	Meta-LEARNA
154	4.85	Meta-LEARNA
161	111.32	Meta-LEARNA
185	4.56	Meta-LEARNA
193	4.42	Meta-LEARNA
210	3.41	Meta-LEARNA
215	3.64	Meta-LEARNA
301	13.98	Meta-LEARNA
340	7.58	Meta-LEARNA
344	24.21	Meta-LEARNA
348	4.72	Meta-LEARNA
357	5500.0	Meta-LEARNA
360	375.17	Meta-LEARNA
382	5500.0	Meta-LEARNA
451	5500.0	Meta-LEARNA
