time	solved
1e-10	0.0
2.71	3.4482758620689653
2.72	6.896551724137931
2.77	10.344827586206897
2.82	13.793103448275861
2.95	17.24137931034483
2.97	20.689655172413794
3.02	24.137931034482758
3.06	27.586206896551722
3.28	31.03448275862069
3.36	34.48275862068966
3.41	37.93103448275862
3.46	41.37931034482759
3.57	44.827586206896555
3.64	48.275862068965516
4.42	51.724137931034484
4.56	55.172413793103445
4.72	58.620689655172406
4.85	62.06896551724138
7.58	65.51724137931035
13.98	68.96551724137932
24.21	72.41379310344827
32.69	75.86206896551724
111.32	79.3103448275862
375.17	82.75862068965517
600.0	82.75862068965517
