length	time	method
54	0.14	antarna
73	1.01	antarna
74	0.25	antarna
79	0.25	antarna
83	0.49	antarna
87	0.24	antarna
89	1.01	antarna
102	1.07	antarna
117	10.94	antarna
118	0.35	antarna
119	5500.0	antarna
129	5500.0	antarna
140	4.16	antarna
148	3.09	antarna
151	98.59	antarna
154	3.57	antarna
161	283.92	antarna
185	3.54	antarna
193	3.58	antarna
210	21.36	antarna
215	10.49	antarna
301	11.06	antarna
340	99.9	antarna
344	5500.0	antarna
348	5500.0	antarna
357	5500.0	antarna
360	5500.0	antarna
382	5500.0	antarna
451	5500.0	antarna
