time	solved
1e-10	0.0
2.58	3.4482758620689653
2.7	6.896551724137931
2.75	17.24137931034483
2.8	20.689655172413794
2.84	24.137931034482758
2.92	27.586206896551722
2.93	31.03448275862069
3.01	34.48275862068966
3.03	37.93103448275862
3.07	41.37931034482759
3.18	44.827586206896555
3.32	48.275862068965516
3.37	51.724137931034484
3.75	55.172413793103445
3.76	58.620689655172406
5.48	62.06896551724138
7.87	65.51724137931035
8.11	68.96551724137932
14.66	72.41379310344827
20.14	75.86206896551724
158.52	79.3103448275862
600.0	79.3103448275862
