length	time	method
54	2.8	Meta-LEARNA
73	3.07	Meta-LEARNA
74	2.75	Meta-LEARNA
79	2.92	Meta-LEARNA
83	2.84	Meta-LEARNA
87	3.01	Meta-LEARNA
89	2.75	Meta-LEARNA
102	2.75	Meta-LEARNA
117	8.11	Meta-LEARNA
118	3.32	Meta-LEARNA
119	5500.0	Meta-LEARNA
129	5500.0	Meta-LEARNA
140	2.93	Meta-LEARNA
148	3.18	Meta-LEARNA
151	3.75	Meta-LEARNA
154	7.87	Meta-LEARNA
161	20.14	Meta-LEARNA
185	3.76	Meta-LEARNA
193	3.37	Meta-LEARNA
210	2.58	Meta-LEARNA
215	2.7	Meta-LEARNA
301	14.66	Meta-LEARNA
340	3.03	Meta-LEARNA
344	158.52	Meta-LEARNA
348	5.48	Meta-LEARNA
357	5500.0	Meta-LEARNA
360	5500.0	Meta-LEARNA
382	5500.0	Meta-LEARNA
451	5500.0	Meta-LEARNA
