length	time	method
54	26.98	LEARNA_GC_09
73	42.97	LEARNA_GC_09
74	33.37	LEARNA_GC_09
79	5.12	LEARNA_GC_09
83	31.01	LEARNA_GC_09
87	11.62	LEARNA_GC_09
89	110.51	LEARNA_GC_09
102	5500.0	LEARNA_GC_09
117	230.47	LEARNA_GC_09
118	36.71	LEARNA_GC_09
119	5500.0	LEARNA_GC_09
129	5500.0	LEARNA_GC_09
140	5500.0	LEARNA_GC_09
148	5500.0	LEARNA_GC_09
151	5500.0	LEARNA_GC_09
154	406.63	LEARNA_GC_09
161	5500.0	LEARNA_GC_09
185	103.01	LEARNA_GC_09
193	413.17	LEARNA_GC_09
210	5500.0	LEARNA_GC_09
215	5500.0	LEARNA_GC_09
301	400.78	LEARNA_GC_09
340	5500.0	LEARNA_GC_09
344	5500.0	LEARNA_GC_09
348	5500.0	LEARNA_GC_09
357	5500.0	LEARNA_GC_09
360	5500.0	LEARNA_GC_09
382	5500.0	LEARNA_GC_09
451	5500.0	LEARNA_GC_09
