length	time	method
54	24.21	LEARNA
73	26.97	LEARNA
74	28.12	LEARNA
79	4.84	LEARNA
83	25.19	LEARNA
87	7.55	LEARNA
89	24.81	LEARNA
102	202.83	LEARNA
117	5500.0	LEARNA
118	4.86	LEARNA
119	5500.0	LEARNA
129	5500.0	LEARNA
140	67.0	LEARNA
148	36.32	LEARNA
151	5500.0	LEARNA
154	83.96	LEARNA
161	5500.0	LEARNA
185	46.45	LEARNA
193	80.64	LEARNA
210	375.25	LEARNA
215	135.62	LEARNA
301	312.16	LEARNA
340	5500.0	LEARNA
344	5500.0	LEARNA
348	5500.0	LEARNA
357	5500.0	LEARNA
360	5500.0	LEARNA
382	5500.0	LEARNA
451	5500.0	LEARNA
